NOME,USE,DISCOVERY,OBSERVATIONS
Imps Keychain,A custom earplug to help humans to sleep comfortably.,"Found attached to house keys. When human cars sounded their very loud alarms, these earplugs would help reduce the ear damage caused by the noise.",Humans with two ears would necessitate two of these items in order to fully protect themselves.
Flip Flop,A glove used for protecting human hands from touching scorching surfaces.,"Found by the door of a human home. Humans would use these gloves to check if the doorknob was hot before using it, in order to avoid burning their frail hands.","The design of these gloves is such that they may also be worn on human feet, if they prefer to interact with objects using their lower appendages."
Iron,A highly advanced spaceship wingless insects used to get around.  ,Found on a landing runway in a human home. Insects would seemingly travel to and from human homes  without them even noticing.,"It is unknown how these machines operated, but they are most definitely a highly technological marvel of insect technology which we may never truly be able to fathom."
Rubber Chicken,A sculpture of an animal which humans worshipped religiously.,Found above a door. Humans believed this placement of the object would bring them good luck.,"This sculpture was believed to be able to communicate with its worshipper, if their faith was strong enough. This has obviously been debunked, as sculptures cannot emit sound."
GameToy,An interface used for summoning and interacting with demons.,Encountered under the pillow of a human infant's bed. Demonically possessed children were a common occurrence within the species.,"Game Toys could be combined with different catridges, each holding their own demonic spirit, ready to be released in the comfort of one's own home."
Guitar,"A weapon that made an extremely loud sound when bashed against another human's head, paralyzing them.","Found in an armory. Humans manufactured many different such weapons with different decals and designs, illustrating their unhealthy obsession with weaponry.","A team of talented humanologists have discovered that, by strumming the strings of the guitars, they could produced a sound that was actually rather pleasant. If only humans had figured this one out."
Kugo Action Figure,A figure of a war hero which humans worshipped.,"This small statue was found among other representations of war heroes, especially young female ones. Humans highly valued their warmongering elite.","The arms on this particular statue can move around and make a pose, clasping both hands. This power pose was used to rally platoons into the battlefield."
Canned Pickles,"A can which at one point contained ""Pickles"", a staple food in the human diet. ","Discovered inside a totaled truck containing multiple copies of itself, likely to be distributed to art swindlers  worldwide.","This is a cheap knockoff of Dankbells Soup. After the perfect consumable item was invented, humans rushed to try and imitate it, failing miserably. A simpleton would not be able to notice the difference between both art pieces, however."
Lesgo,A home security device which operated as a land  trap. Stepping on one of these would cause human trespassers unimaginable pain.,Found inside a box containing other similar traps of different shapes and sizes. Such dangerous boxes  were commonly sold as consumer goods.,"These traps could tether to themselves, forming whichever shape the trapper  desired. This was one of humans' most technological and effective inventions."
Marge Rina,A picture of an uninteresting person drawn by a human infant.,Found in the wreckage of a large building riddled with other childish doodles. This was likely a daycare.,"Humans highly valued childish illustrations due to their abnormal attachment to their own offspring. Their babies were taken care of full-time by their parents until they reached maturity, at 30 years old."
Nobel Prize,"A device meant to mind control living beings. Through engraving the victim's name on the plaque, humans could completely hypnotize others of their own species.","Salvaged from an area named ""Ollywood"", presumed to be a massive mind control research complex.","Humans valued controlling others very highly, as they did not believe in peaceful resolutions or diplomatic reasoning."
Pen,"This pointy item is a paintbrush, used to ink reminders humans' skin. These were called ""Tattoos"".","This was found inside a cup with similar brushes. ""Tattoos"" were popular in office spaces, as humans would use their own bodies as schedules or white boards. ","Humans were notorious for their lack of long-term and short-term memory. They would constantly forget even the most important of dates, such as their international holiday of ""Watermelon Seed Day""."
Battery,These small items were used as a substitute for mothers who neglected nurturing their babies. They provided important nutrients as they were nibbled on.,Found inside a large lot full of radiated air and acid. This was obviously a nursery home.,"This is one of the few human items which can still benefit our species. Our infants love to nibble on these things, and grow strong!"
Ping Pong Paddle,These round objects were used to protect the human eye from the Sun. Also comes with a convenient grip to make holding it easier.,"While many fragmented paddles have been found, the few intact ones to be found were located near churches. This might indicate a possible religious importance.","Early on, these paddles were thought to be early human wheel concepts. Further investigation has determined, however, that humans did not invent the wheel at all, but instead stole such technology from beings of other planets."
Hair Dryer,"This device was utilized to heat up food, as humans preferred to eat their food warm.",Discovered inside a human bathroom. This makes us believe that humans would regularly eat their meals while evacuating. Disgusting. ,"Humans would regularly host religious rituals called ""Barbecues"", and smoke ceremonial meats using this device."
Xabasco Pepper,"These eyedrops were used to lubricate human eyes, which were incredibly dry and sensitive.","Found in the remains of a human ""Restaurant"". We are unsure of the purpose of this establishment, but experts speculate it was a place of religious importance.",Xabasco was needed in order to heal eye damage caused by staring into the sun. Humans believed this act would gift them with superpowers.
Saw,"This item's use is one of the most highly debated questions in the field of humanology, but our best theory is that it was used to cut stuff. Most likely, other humans. Despicable.","This was found in a torture chamber with other tools for smacking and cutting. So many torture chambers  were discovered around the globe, we can only  assume humans had a sick fetish for pain.","Our species has reapropriated these kinds of deadly items for everyday use. For example, we use this tool to cut wood and build homes - if only humans knew how to properly use the things they themselves created."
War Hat,"A hat designed for players of the bloody sport ""Baseball"". The emblem on it varies according to the player's ranking.","Collected from a fallen war-loving human's collection.  ""Baseball"" seemed to be very popular among war fans.","Despite its bloody and violent nature, baseball players preferred to look their best with this high-fashion hat when practising it, as opposed to wearing real head protection gear."
Matrioshka Dolls,"A multi-layered protective case, used to hold things of great value to humans, most often their favourite pet, the egg.","Discovered in a nearly perfect state, being preserved inside a fridge. Sadly, no egg was found inside.","Even with no lock system present, the idea behind its design is that the perpetrator would get bored and give up trying to open it before reaching its final layer - thus keeping their egg intact. "
Umbrella,"An offensive and defensive weapon, mimicking the design of a lance and a shield at the same time when open.","These items have been found scattered all around the globe. Humans were a warmongering species that glorified combat,  participating in it for sport during their daily routines.","Considered by many the peak of close-ranged human combat, most houses had at least one, if not many. The small sized variants indicate human infants were trained to master it from an early age."
MP3 Player,"Humans inserted this toy into their mouths to gather  bodily warmth data, for entertainment purposes. It  was briefly popular as a fad, then faded out.","Found in a collapsed home. A strange sound was emanating from it at the time of its discovery, but no one has ever heard it since. Humanologists concluded that this item was merely temporarily possessed by a demonic entity.","Humans would occasionaly insert this item into their ears by mistake, causing irreversible hearing loss."
Brut Vodka,"Cleaning product, varied uses, from cleaning the house to anti-bacterial cleaning for cuts and bruises.","Found inside an old ragged coat lost in a blizzard, with no traces of the owner left behind.","Most bottles found are usually empty, showing humans still had a sense of obligation to clean the earth before going extinct."
